isl_target,isl_actual,n,ttft_p50,ttft_p95,tpot_mean,speed_tok_s,itl_p99,cv_pct,prefill_tok_s,decode_loss_pct,predicted_loss_pct
1024,1024.0,8,74.1519,75.6648,9.358213188976377,106.85800588278566,9.6021,0.15990816054190995,13809.491058219683,0.0,0.3098450184501845
4096,4096.0,8,273.2773,274.9501,9.509756299212599,105.15516576200794,9.8315,0.1458853621012709,14988.438483547663,1.619359456511793,1.239380073800738
8192,8192.0,8,556.1159,557.2997,9.586014763779527,104.31863758216505,9.9791,0.13662580797650306,14730.742278722835,2.4342422020422916,2.478760147601476
16384,16384.0,8,1165.5273,1167.1803,9.765189468503937,102.40456708242483,10.1044,0.11692952867606876,14057.15679075042,4.348867367191023,4.957520295202952
32768,32768.0,8,2573.3396,2575.62,10.163443700787402,98.39184723604323,10.4816,0.08823592150194318,12733.647747075436,8.604532676810116,9.915040590405903
65536,65536.0,8,6143.2211,6147.1241,11.013038188976378,90.8014648492694,11.4119,0.08855386262503738,10668.019095063988,17.68312995849808,19.830081180811806
130816,130816.0,8,16232.2071,16242.8496,12.717997718253969,78.62872931363351,13.1703,0.06014348868805098,8059.039611440147,35.90198749944371,39.58270110701107
