isl_target,osl_target,isl_actual,ttft_p50_mean,ttft_p50_min,ttft_p50_max,ttft_p50_across_cv,tpot_mean_mean,tpot_mean_min,tpot_mean_max,tpot_mean_across_cv,speed_tok_s_mean,speed_tok_s_min,speed_tok_s_max,speed_tok_s_across_cv,itl_p99_mean,itl_p99_min,itl_p99_max,itl_p99_across_cv,within_cv_tpot,within_cv_ttft,ttft_p50_run1,ttft_p50_run2,ttft_p50_run3,tpot_mean_run1,tpot_mean_run2,tpot_mean_run3,speed_tok_s_run1,speed_tok_s_run2,speed_tok_s_run3,itl_p99_run1,itl_p99_run2,itl_p99_run3
128,256,128.0,19.1725,18.9162,19.6183,2.0212083990473464,9.38150674509804,9.374582901960785,9.38808317647059,0.07202296229547434,106.59272257756724,106.51801663904152,106.67141252661388,0.07202697097243102,9.922566666666667,9.8651,9.9633,0.5159338461743659,0.26160278309943324,7.711354559276145,19.6183,18.983,18.9162,9.374582901960785,9.38808317647059,9.381854156862746,106.67141252661388,106.51801663904152,106.58873856704632,9.8651,9.9633,9.9393
1024,256,1024.0,73.97533333333332,73.4146,74.3466,0.667849287044612,9.393941895424836,9.39086874509804,9.396679490196078,0.031082473314518244,106.45159141323356,106.42057133515503,106.4864207075615,0.03108411819603202,10.0092,9.9658,10.0827,0.6394047163723173,0.33058142129935525,1.2624008278873113,73.4146,74.1648,74.3466,9.39086874509804,9.394277450980391,9.396679490196078,106.4864207075615,106.44778219698414,106.42057133515503,9.9658,10.0827,9.9791
4096,256,4096.0,274.12536666666665,273.6035,274.6758,0.1957937993532968,9.53775385620915,9.53307250980392,9.544204705882354,0.060529943416573494,104.84651410308341,104.77562361834849,104.89797481049143,0.060514690218417974,10.1852,10.1801,10.1927,0.06513375600134624,0.32086906792080194,0.48611331106583033,274.0968,273.6035,274.6758,9.535984352941176,9.544204705882354,9.53307250980392,104.8659438804103,104.77562361834849,104.89797481049143,10.1927,10.1801,10.1828
8192,256,8194.0,567.8131999999999,567.435,568.2014,0.0675042157584444,9.624826588235294,9.622945843137256,9.627042980392158,0.021497411724774162,103.89797900670841,103.87405582760418,103.91828202100551,0.02149631726518784,10.2612,10.2141,10.3115,0.4753711687986475,0.3125025425059259,0.3100719090567127,567.435,567.8032,568.2014,9.62449094117647,9.627042980392158,9.622945843137256,103.90159917151554,103.87405582760418,103.91828202100551,10.2141,10.258,10.3115
