isl_target,osl_target,isl_actual,osl_actual,n,ttft_p50,ttft_p95,ttft_p99,e2e_p50,e2e_p95,tpot_mean,tpot_cv_pct,itl_p50,itl_p95,itl_p99,itl_max,speed_tok_s,n_itl
1024,128,1024.0,128.0,8,74.1519,75.6648,75.6648,1263.4101,1265.3526,9.358213188976377,0.15990816054190995,9.3676,9.5066,9.6021,10.0891,106.85800588278566,1016
4096,128,4096.0,128.0,8,273.2773,274.9501,274.9501,1482.1213,1483.8367,9.509756299212599,0.1458853621012709,9.5228,9.6861,9.8315,10.5794,105.15516576200794,1016
8192,128,8192.0,128.0,8,556.1159,557.2997,557.2997,1774.0085,1776.0598,9.586014763779527,0.13662580797650306,9.6072,9.7549,9.9791,10.3547,104.31863758216505,1016
16384,128,16384.0,128.0,8,1165.5273,1167.1803,1167.1803,2406.3814,2409.7784,9.765189468503937,0.11692952867606876,9.8068,9.9769,10.1044,10.9865,102.40456708242483,1016
32768,128,32768.0,128.0,8,2573.3396,2575.62,2575.62,3863.7606,3866.6725,10.163443700787402,0.08823592150194318,10.2397,10.397,10.4816,11.6192,98.39184723604323,1016
65536,128,65536.0,128.0,8,6143.2211,6147.1241,6147.1241,7541.5868,7546.6549,11.013038188976378,0.08855386262503738,11.1414,11.3075,11.4119,12.2249,90.8014648492694,1016
